,Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_euros
1223,4,289,4,5,3,7,27,1,3,2,1,0,0,1,15,44,7,0,3,2,2,49,1713.37
1224,4,249,0,12,1,5,91,1,3,2,1,0,0,1,15,38,8,0,1,2,2,55,509.0
1225,2,553,3,14,1,5,128,3,0,0,0,0,0,1,7,86,11,0,1,2,2,44,309.0
1226,4,576,4,7,3,5,30,2,11,7,1,0,0,1,18,62,7,0,3,2,2,55,1477.0
1227,4,547,3,14,1,2,99,3,0,0,0,0,0,1,16,46,11,0,1,2,2,49,521.86
1228,10,225,1,14,5,5,125,1,3,2,1,1,0,1,17,58,4,4,3,0,3,31,1029.0
1229,11,161,1,14,3,5,102,1,3,2,0,0,0,1,19,66,4,4,3,0,3,17,1149.0
1230,10,474,2,5,5,5,31,1,3,2,1,1,0,1,16,55,10,0,3,2,2,49,1650.0
1231,14,85,1,10,5,5,80,1,3,2,0,0,0,1,19,66,11,0,3,2,3,21,3499.0
1232,4,239,3,14,3,5,109,3,0,0,1,0,0,1,15,38,11,0,1,2,2,55,469.01
1233,11,154,1,16,5,5,131,1,3,2,0,0,0,1,19,66,7,4,3,0,3,21,1598.0
1234,1,299,4,2,1,3,8,3,0,0,0,0,0,1,7,40,7,0,0,2,2,53,959.0
1235,7,23,3,14,1,5,93,1,3,2,0,0,0,1,11,36,11,0,1,2,2,49,478.0
1236,7,111,4,10,3,7,50,3,8,4,0,0,0,1,16,55,7,0,3,2,2,49,2198.19
1237,4,546,3,14,1,7,105,3,0,0,0,0,0,1,14,41,8,0,1,2,2,49,737.0
1238,11,158,1,14,3,5,109,1,3,2,0,0,0,1,17,58,4,4,3,0,3,31,1169.0
1239,10,453,3,7,5,5,40,1,3,2,0,1,0,1,18,62,10,0,3,2,2,55,1499.0
1240,10,206,3,14,2,5,102,1,3,2,0,0,0,0,24,4,7,0,3,2,0,78,597.57
1241,2,604,4,7,3,5,45,1,3,2,0,0,0,1,16,55,7,0,3,2,2,49,1280.0
1242,0,76,3,14,1,2,117,3,0,0,0,0,0,1,11,36,8,0,1,2,2,49,361.8
1243,4,261,0,16,5,5,136,1,3,2,1,0,0,1,18,62,10,0,3,2,3,14,1799.0
1244,7,111,3,10,1,7,50,1,3,2,0,0,0,1,14,41,7,0,3,2,2,49,1099.99
1245,2,398,1,14,5,5,120,1,3,2,0,1,0,1,19,66,7,4,3,0,3,18,1600.0
1246,4,279,3,10,1,5,55,3,0,0,0,0,0,1,16,46,8,0,1,2,2,55,875.0
1247,2,394,1,14,5,5,113,1,3,2,0,1,0,1,17,58,7,4,3,0,3,22,2325.0
1248,10,532,3,14,3,4,109,1,3,2,0,1,0,1,16,46,7,0,3,2,2,55,573.0
1249,4,576,0,7,3,5,24,2,11,7,1,0,0,1,3,51,7,0,3,2,2,54,1813.0
1250,4,238,3,14,1,2,102,3,0,0,0,0,0,1,7,86,8,0,1,2,2,42,324.0
1251,7,51,3,14,1,5,72,3,0,0,0,0,0,0,16,7,8,0,1,2,0,87,399.0
1252,10,204,3,14,2,5,117,1,3,2,0,0,0,1,14,37,4,0,3,2,3,8,569.0
1253,10,458,3,10,3,5,76,1,3,2,0,1,0,1,14,41,7,0,3,2,2,49,1072.0
1254,4,238,3,14,1,5,102,3,0,0,0,0,0,1,7,85,8,0,1,2,2,42,443.99
1255,2,558,3,14,1,5,84,3,0,0,0,0,0,1,2,22,11,0,1,2,2,45,339.0
1256,2,391,1,16,5,5,160,1,3,2,0,1,0,1,17,58,4,4,3,0,3,33,1900.0
1257,4,547,3,14,1,5,108,3,0,0,0,0,0,1,11,36,8,0,1,2,2,49,490.0
1258,10,84,3,14,3,7,111,1,3,2,0,0,0,1,16,55,11,0,2,2,0,92,895.0
1259,11,148,1,14,3,5,117,1,3,2,0,0,0,1,17,58,4,4,3,0,3,31,1229.0
1260,10,579,0,10,1,5,68,1,3,2,1,0,0,1,14,41,4,0,3,2,2,49,833.01
1261,2,602,4,7,3,5,20,1,3,2,0,1,0,1,0,27,10,0,3,2,2,48,729.0
1262,4,239,3,14,2,5,109,3,0,0,0,0,0,1,15,38,11,0,1,2,2,55,459.0
1263,0,74,3,14,1,2,117,3,0,0,0,0,0,1,7,21,8,0,1,2,2,43,289.0
1264,4,238,3,14,0,5,102,3,0,0,0,0,0,1,7,20,8,0,1,2,2,42,379.0
1265,10,225,3,14,3,5,125,1,3,2,0,1,0,1,17,58,11,0,1,2,3,31,899.0
1266,7,324,3,14,2,5,87,1,3,2,0,0,0,0,20,10,11,0,2,2,0,100,549.99
1267,4,239,3,14,3,2,109,3,0,0,0,0,0,1,18,62,11,0,1,2,0,95,805.99
1268,7,425,2,2,0,5,17,3,0,0,0,0,0,1,7,21,2,0,0,2,2,43,209.0
1269,2,571,3,14,1,5,102,3,0,0,0,0,0,1,16,55,8,0,1,2,3,7,720.32
1270,10,580,0,10,1,5,68,1,3,2,1,1,0,1,16,55,4,0,3,2,2,49,638.0
1271,10,588,0,7,5,5,31,2,11,7,1,1,0,1,16,55,10,0,3,2,2,49,1499.0
1272,10,196,3,10,0,5,49,3,0,0,0,0,0,1,7,20,3,0,0,2,2,42,229.0
1273,7,2,3,14,2,5,100,3,0,0,0,0,0,1,16,55,11,0,1,2,0,92,764.0
1274,2,568,3,14,1,5,102,3,0,0,0,0,0,1,7,20,8,0,1,2,2,42,369.0
